prob_name,absolute_cox,cox
201869_s_at,1.345830743,-1.345830743
232539_at,1.34542543,1.34542543
219505_at,1.343396249,1.343396249
217025_s_at,1.341781122,-1.341781122
217286_s_at,1.341471035,1.341471035
34210_at,1.341045461,1.341045461
220448_at,1.338660235,1.338660235
208930_s_at,1.333755389,-1.333755389
218696_at,1.333572921,-1.333572921
221666_s_at,1.333039013,1.333039013
211065_x_at,1.330193824,1.330193824
216035_x_at,1.329555692,-1.329555692
243362_s_at,1.328597587,1.328597587
212645_x_at,1.327583966,1.327583966
224788_at,1.326327972,1.326327972
209897_s_at,1.326155525,-1.326155525
211656_x_at,1.32576899,1.32576899
212382_at,1.32148453,-1.32148453
226456_at,1.321143596,1.321143596
208820_at,1.318596782,-1.318596782
201847_at,1.318453807,1.318453807
201432_at,1.318198546,1.318198546
204960_at,1.317739324,1.317739324
229280_s_at,1.317126273,-1.317126273
205550_s_at,1.314141138,1.314141138
236292_at,1.31410715,-1.31410715
211275_s_at,1.312509469,1.312509469
211535_s_at,1.311399416,-1.311399416
222400_s_at,1.309471811,1.309471811
212386_at,1.309387618,-1.309387618
207419_s_at,1.308867184,1.308867184
202217_at,1.308742518,1.308742518
226415_at,1.306541098,1.306541098
205081_at,1.304116018,1.304116018
213891_s_at,1.302647821,-1.302647821
213982_s_at,1.300903282,1.300903282
225731_at,1.299706433,-1.299706433
225005_at,1.2995939,-1.2995939
201549_x_at,1.298272218,-1.298272218
1555851_s_at,1.295747186,1.295747186
227931_at,1.295512427,-1.295512427
232311_at,1.29406674,1.29406674
209384_at,1.293552578,1.293552578
212068_s_at,1.29249229,-1.29249229
223991_s_at,1.292226077,-1.292226077
201636_at,1.291796218,-1.291796218
239247_at,1.28841852,1.28841852
202942_at,1.288364514,1.288364514
221765_at,1.288180573,-1.288180573
203932_at,1.287193407,1.287193407
202598_at,1.286888652,1.286888652
218351_at,1.286392216,1.286392216
201461_s_at,1.285647388,-1.285647388
213589_s_at,1.284545188,1.284545188
228434_at,1.282609015,1.282609015
226542_at,1.28211468,-1.28211468
214470_at,1.280574233,1.280574233
225180_at,1.275163143,1.275163143
32069_at,1.274655296,-1.274655296
212368_at,1.274447743,-1.274447743
219520_s_at,1.272835208,1.272835208
219679_s_at,1.271655619,-1.271655619
209051_s_at,1.270145954,-1.270145954
222997_s_at,1.268422774,1.268422774
221500_s_at,1.267240472,1.267240472
211341_at,1.265855629,-1.265855629
218628_at,1.264563011,1.264563011
203753_at,1.263835891,-1.263835891
220036_s_at,1.26379652,-1.26379652
200924_s_at,1.262454483,-1.262454483
201311_s_at,1.260549036,1.260549036
227135_at,1.259354375,1.259354375
204849_at,1.258659574,-1.258659574
225330_at,1.257580032,-1.257580032
55872_at,1.257401026,-1.257401026
213503_x_at,1.256128425,1.256128425
203149_at,1.255894152,-1.255894152
229498_at,1.2547256,1.2547256
209605_at,1.254312107,1.254312107
