	h_avg	h_train1	h_train2	h_train3	h_train4	h_train5	whole_data
1552617_a_at	0.4569266884075038	0.007417209674485176	0.6364772401125846	0.29447291808170206	0.6333999079416683	0.712866166227079	0.5430261788337901
1552618_at	0.5311716648247564	0.6384849727957163	0.5178596007167664	0.3439648091157679	0.483418810370475	0.6721301311250565	0.5870220463510463
1552619_a_at	0.569768778232362	0.6689942907502996	0.5278533841280125	0.4885036145890342	0.5976384209509559	0.5658541807435079	0.6188442677912829
1552620_at	0.16625046363238374	0.12848639695915245	0.2961873000491173	0.14756183894446723	0.09437631694106771	0.1646404652681141	0.2287287692641344
1552623_at	0.27848869900199674	0.09560876633558074	0.26771155613583536	0.4282990533346419	0.4157511127014707	0.18507300650245512	0.0643458198832841
1552627_a_at	0.2081091368092544	0.1480161254741862	0.17149701132826115	0.03691847329696451	0.43074661928892644	0.25336745465793387	0.24378953246237312
1552628_a_at	0.2967117026010156	0.2299565511064031	0.2122107502286862	0.5955270349460856	0.16673119688411078	0.2791329798397921	0.2313158243264317
1552633_at	0.15772671246103936	0.03857771692030734	0.1540382620371752	0.05118425775895862	0.14743805740169907	0.3973952681870565	0.16996825371909155
1552634_a_at	0.2931158310495504	0.14349944308293136	0.23251698794304085	0.3937431542955255	0.19925095731598927	0.496568612610265	0.2965627461164316
1552643_at	0.09119609505958369	0.11961783075586854	0.1526872339513561	0.03817450237637546	0.06922287441597887	0.07627803379833947	0.01802349715672253
1552644_a_at	0.26965835636955615	0.17634962217860045	0.27703162355406574	0.3577410947938623	0.06011348637639666	0.47705595494485553	0.23209678916669665
1552652_at	0.3566474048338487	0.5014157324024988	0.07365768698586755	0.5822093191853484	0.3880864815344756	0.23786780406105323	0.35738699978141886
1552656_s_at	0.237588015131225	0.21931497647411408	0.2649199495741149	0.3315117847154252	0.2373546023900516	0.13483876250241908	0.289747214528506
1552658_a_at	0.24735128950451185	0.3232105901297586	0.3424398924099608	0.12831042707778698	0.2598573332589652	0.18293820464608768	0.24923778023786897
1552663_a_at	0.2879326096210374	0.27094761276380813	0.3692811217080499	0.16428988207344425	0.3225365943065792	0.3126078372533057	0.30073684585131255
1552664_at	0.40386258984841844	0.35365956754935624	0.6422881469105018	0.3428084820297674	0.29066915086020856	0.38988760189225835	0.44257187988556856
1552665_at	0.11412579305684478	0.11648718056879744	0.2588132807467529	0.1436049848022602	0.0515958372910781	0.00012768187533529398	0.01493886929447799
1552667_a_at	0.15781518981952447	0.23193848373060022	0.08929534884509702	0.22167875652974098	0.15614934949099368	0.09001401050119044	0.12653784705523577
1552678_a_at	0.5948663237954623	0.4543781812995551	0.5539677603671579	0.5382424370639194	0.928609640383052	0.4991335998636273	0.6671652741515387
1552680_a_at	0.24722703888496164	0.3948083809353795	0.2893381839772167	0.24957087808490247	0.12873410333905916	0.17368364808825035	0.12506157023852438
1552690_a_at	0.19966249222404503	0.06083398617021977	0.1899915244609258	0.27374265470508774	0.43191770867076695	0.04182658711322489	0.0743224571435755
1552691_at	0.18757285617751787	0.3858594071193136	0.0010894562421717346	0.08010480407881801	0.05342493807807691	0.4173856753692091	0.14963394329389088
1552701_a_at	0.39485016665123807	0.03808481359746892	0.6246408781778695	0.2292176095571727	0.6021725443068825	0.4801349876167965	0.3088754873331087
1552711_a_at	0.1536453729080911	0.00036920387198642433	0.21777686642249094	0.03902412370881884	0.20568491584716753	0.30537175468999184	0.17307410110445048
1552719_at	0.1536645662675789	0.051197734954208804	0.11281508387561946	0.4311288957024834	0.027370603389073846	0.14581051341650908	0.10009228694024573
1552724_at	0.33427198231646915	0.5446617145152836	0.12886850977404282	0.36333632146098543	0.32081773437798994	0.31367563145404387	0.34575797877563164
1552733_at	0.455442976104273	0.4176861948221594	0.5126207519272152	0.2894003035899839	0.27858628225205473	0.7789213479299515	0.3754201418240853
1552734_at	0.7653979173613749	0.4617764386587068	1.1104645203458836	0.4552527204607035	0.8079956421633163	0.9915002651782642	0.8673960421873845
1552736_a_at	0.29818275652415055	0.23877862888587195	0.1910915968906811	0.3239819230224672	0.6951835757631014	0.04187805805863119	0.3154161152889039
1552749_a_at	0.12548067499628365	0.09264593993667797	0.16624573515696311	0.17564849368816582	0.06267449032843221	0.1301887158711792	0.09716058959800548
1552761_at	0.13790670648068995	0.13618863861185346	0.12334104625451164	0.13215118619508825	0.15089955910179073	0.1469531022402056	0.142533934981588
1552768_at	0.10820587262020989	0.031382231964941686	0.1625773884329685	0.11381005549012171	0.1509772012994822	0.08228248591353521	0.11019124250756926
1552790_a_at	0.3104129648804942	0.10717848286992467	0.2906309361076478	0.3403075120532707	0.6251541310554782	0.1887937623161496	0.33863953873834474
1552800_at	0.03906109686023764	0.031539240316895235	0.012601528390385253	0.042776970575506834	0.02953954619458488	0.07884819882381601	0.024899037080872898
1552807_a_at	0.2671900843306577	0.05411267674478794	0.22235758549971532	0.3478964435059816	0.38353240432630337	0.3280513115765006	0.3113450169012771
1552835_at	0.044912163770881405	0.03199620342747017	0.009761010368732089	0.13123700916654474	0.048229279057952615	0.0033373168337074133	0.03737269682485634
1552836_at	0.13059252274613634	0.09310734546178681	0.19101641373398728	0.18428858933419248	0.18013274121285694	0.004417523987858147	0.1953448106470087
1552845_at	0.18423986685423954	0.21476502596271316	0.1415613610204665	0.12823402769804537	0.21837520078641254	0.21826371880356008	0.09354674202678172
1552846_s_at	0.14365173162390996	0.14643204507824148	0.2302978190536021	0.21361566179286173	0.0368322966516005	0.09108083554324396	0.17863548816467775
1552848_a_at	0.32626435359374717	0.15610295485244258	0.32843317382923365	0.42186057881283784	0.26015148850897934	0.46477357196524255	0.38293689356935884
1552863_a_at	0.07710829865282998	0.13057311106605318	0.0877831598444393	0.11154921566115883	0.04295224443847055	0.012683762254028013	0.01535840810191169
1552865_a_at	0.11399951010262979	0.04662530389028498	0.13999479430248607	0.023460747689096506	0.0909914491365494	0.26892525549473195	0.06767579661330095
1552868_at	0.46968627863122636	0.30062089285765886	0.6376962752172032	0.51308748591148	0.42920855395034746	0.46781818521944224	0.5143724382206275
1552872_at	0.10822772816118016	0.12401594849531677	0.04036028717806455	0.15405908662371987	0.15230103761553393	0.07040228089326563	0.05944535134661453
1552885_a_at	0.13298469651412242	0.10043661495103569	0.13403473307989577	0.06599111291983112	0.3360937853760273	0.02836723624382229	0.09437353224949464
1552889_a_at	0.1310028965964141	0.12164435887707976	0.12129066996031786	0.1734256655333283	0.1480360993753701	0.09061768923597431	0.005798449415014823
1552892_at	0.46004340165456015	0.400592074178177	0.5063944776457544	0.5057282256997758	0.42678662664244943	0.46071560410664386	0.5279276724950379
1552921_a_at	0.4418597910575256	0.4040656284180539	0.44819835359519566	0.4410688814890434	0.5738662046807548	0.3420998871045806	0.5067446526980132
1552924_a_at	0.24922031208548154	0.34828822792943054	0.03883362398405839	0.569468358777259	0.05266497731337669	0.23684637242328313	0.23899970473476756
1552928_s_at	0.4234027240853278	0.16552554493106528	0.4910158781848211	0.27698620469234425	0.691880491021521	0.4916055015968872	0.4721623287584976
1552931_a_at	0.14197193184996143	0.09312754402856627	0.2604432927788957	0.0008520371874889675	0.1730054340350937	0.18243135121976248	0.16926796137942163
1552943_at	0.15982868349419999	0.11797875075932608	0.0776037662361195	0.13621796253127388	0.25124014610948425	0.21610279183479614	0.214404832434554
